Stock Name,Ticker,Market,Avoid
Apple Inc,AAPL,US,N
Tesla Inc,TSLA,US,N
NVIDIA Corporation,NVDA,US,N
Adobe Inc,ADBE,US,N
Intuitive Surgical Inc,ISRG,US,N
Prologis Inc,PLD,US,N
Lam Research Corp,LRCX,US,N
Cadence Design Systems,CDNS,US,N
Monolithic Power Systems,MPWR,US,N
Synopsys Inc,SNPS,US,N
ServiceNow Inc,NOW,US,N
Fortinet Inc,FTNT,US,N
Intuit Inc,INTU,US,N
Qualcomm Inc,QCOM,US,N
Broadcom Inc,AVGO,US,N
Applied Materials Inc,AMAT,US,N
Texas Instruments,TXN,US,N
Motorola Solutions,MSI,US,N
Paycom Software,PAYC,US,N
Fastenal Company,FAST,US,N
Graco Inc,GGG,US,N
Trex Company,TREX,US,N
MSA Safety Inc,MSA,US,N
Generac Holdings,GNRC,US,N
Zebra Technologies,ZBRA,US,N
PTC Inc,PTC,US,N
Tetra Tech Inc,TTEK,US,N
West Pharmaceutical Services,WST,US,N
IDEXX Laboratories,IDXX,US,N
Hologic Inc,HOLX,US,N
ResMed Inc,RMD,US,N
Stryker Corporation,SYK,US,N
Masimo Corporation,MASI,US,N
DexCom Inc,DXCM,US,N
Align Technology,ALGN,US,N
QuidelOrtho Corp,QDEL,US,N
Broadridge Financial Solutions,BR,US,N
FactSet Research Systems,FDS,US,N
Jack Henry & Associates,JKHY,US,N
Tyler Technologies,TYL,US,N
Fair Isaac Corporation,FICO,US,N
Verisk Analytics,VRSK,US,N
Old Dominion Freight Line,ODFL,US,N
Cintas Corporation,CTAS,US,N
Expeditors International,EXPD,US,N
CSX Corporation,CSX,US,N
JB Hunt Transport Services,JBHT,US,N
Norfolk Southern,NSC,US,N
O'Reilly Automotive,ORLY,US,N
AutoZone Inc,AZO,US,N
Tractor Supply Co,TSCO,US,N
Lowe's Companies,LOW,US,N
Home Depot Inc,HD,US,N
Costco Wholesale Corp,COST,US,N
Pool Corporation,POOL,US,N
Sherwin-Williams Company,SHW,US,N
Avery Dennison Corp,AVY,US,N
Toro Company,TTC,US,N
RPM International Inc,RPM,US,N
Lennox International,LII,US,N
Allegion PLC,ALLE,US,N
Ametek Inc,AME,US,N
Roper Technologies,ROP,US,N
Fortive Corporation,FTV,US,N
Parker-Hannifin Corp,PH,US,N
Rockwell Automation,ROK,US,N
Ingersoll Rand Inc,IR,US,N
Eaton Corporation,ETN,US,N
ITT Inc,ITT,US,N
Watts Water Technologies,WTS,US,N
Pentair PLC,PNR,US,N
A.O. Smith Corp,AOS,US,N
Middleby Corporation,MIDD,US,N
Cognex Corporation,CGNX,US,N
IPG Photonics Corp,IPGP,US,N
Coherent Corp,COHR,US,N
ON Semiconductor,ON,US,N
Skyworks Solutions,SWKS,US,N
Lattice Semiconductor,LSCC,US,N
Enphase Energy,ENPH,US,N
SolarEdge Technologies,SEDG,US,N
First Solar Inc,FSLR,US,N
Array Technologies,ARRY,US,N
Brookfield Renewable,BEPC,US,N
NextEra Energy Partners,NEP,US,N
Clearway Energy Inc,CWEN,US,N
Xcel Energy Inc,XEL,US,N
Atmos Energy Corp,ATO,US,N
Essential Utilities,WTRG,US,N
American Water Works,AWK,US,N
Eversource Energy,ES,US,N
Alliant Energy Corp,LNT,US,N
CMS Energy Corporation,CMS,US,N
IDACORP Inc,IDA,US,N
Pinnacle West Capital,PNW,US,N
WEC Energy Group,WEC,US,N
Avista Corp,AVA,US,N
UGI Corporation,UGI,US,N
NorthWestern Corp,NWE,US,N
New Jersey Resources,NJR,US,N
NiSource Inc,NI,US,N
Spire Inc,SR,US,N
